delta,cutoffQ,maxGap,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1
0.1,0.99,1e3,221 (14.17),21 (1.92),279 (14.17),0.44 (0.03),0.91 (0),0.57 (0.02),0.62 (0.02),0.64 (0.03)
0.15,0.9,200,278 (9.44),92 (6.78),222 (9.44),0.56 (0.02),0.72 (0.02),0.66 (0.01),0.6 (0.02),0.67 (0.02)
0.15,0.9,250,287 (11.56),112 (6.31),213 (11.56),0.57 (0.02),0.68 (0.02),0.66 (0.02),0.59 (0.02),0.66 (0.02)
0.15,0.9,500,299 (10.31),145 (5.93),201 (10.31),0.6 (0.02),0.62 (0.02),0.66 (0.02),0.56 (0.02),0.65 (0.01)
0.15,0.9,750,297 (8.44),157 (11.69),203 (8.44),0.59 (0.02),0.6 (0.02),0.65 (0.02),0.55 (0.02),0.63 (0.01)
0.15,0.9,1e3,293 (5.32),152 (11.19),207 (5.32),0.59 (0.01),0.59 (0.03),0.64 (0.01),0.53 (0.02),0.62 (0.02)
0.15,0.95,200,272 (10.76),49 (4.18),228 (10.76),0.54 (0.02),0.84 (0.01),0.66 (0.01),0.66 (0.01),0.71 (0.02)
0.15,0.95,250,281 (11.95),63 (2.86),219 (11.95),0.56 (0.02),0.8 (0.02),0.66 (0.02),0.65 (0.02),0.7 (0.02)
0.15,0.95,500,282 (11.9),74 (4.98),218 (11.9),0.56 (0.02),0.78 (0.03),0.65 (0.02),0.64 (0.03),0.7 (0.02)
0.15,0.95,750,277 (9.2),83 (6.44),223 (9.2),0.55 (0.02),0.76 (0.03),0.64 (0.02),0.63 (0.03),0.69 (0.02)
0.15,0.95,1e3,270 (8.75),80 (4.64),230 (8.75),0.54 (0.02),0.75 (0.03),0.63 (0.02),0.62 (0.03),0.68 (0.02)
0.15,0.99,200,256 (15.47),8 (1.82),244 (15.47),0.51 (0.03),0.97 (0),0.64 (0.02),0.71 (0.02),0.72 (0.03)
0.15,0.99,250,260 (14.54),11 (3.49),240 (14.54),0.52 (0.03),0.96 (0.01),0.65 (0.02),0.71 (0.02),0.72 (0.03)
0.15,0.99,500,255 (16.61),14 (3.67),245 (16.61),0.51 (0.03),0.95 (0.01),0.63 (0.02),0.69 (0.02),0.7 (0.03)
0.15,0.99,750,243 (7.56),16 (4.09),257 (7.56),0.49 (0.02),0.94 (0.02),0.61 (0.01),0.67 (0.02),0.69 (0.02)
0.15,0.99,1e3,233 (15.87),17 (0.84),267 (15.87),0.47 (0.03),0.93 (0),0.6 (0.02),0.65 (0.03),0.67 (0.03)
0.2,0.9,200,277 (9.24),85 (6.31),223 (9.24),0.55 (0.02),0.74 (0.02),0.66 (0.01),0.61 (0.02),0.68 (0.02)
0.2,0.9,250,287 (11.36),106 (6.07),213 (11.36),0.57 (0.02),0.7 (0.02),0.67 (0.02),0.6 (0.02),0.67 (0.02)
0.2,0.9,500,299 (10.31),136 (6.11),201 (10.31),0.6 (0.02),0.64 (0.02),0.67 (0.02),0.57 (0.02),0.66 (0.01)
0.2,0.9,750,297 (8.25),146 (9.51),203 (8.25),0.59 (0.02),0.62 (0.02),0.67 (0.02),0.56 (0.02),0.65 (0.02)
0.2,0.9,1e3,292 (5.54),145 (8.83),208 (5.54),0.58 (0.01),0.61 (0.03),0.66 (0.01),0.55 (0.02),0.63 (0.02)
0.2,0.95,200,272 (10.65),46 (3.13),228 (10.65),0.54 (0.02),0.85 (0.01),0.66 (0.02),0.67 (0.02),0.71 (0.02)
0.2,0.95,250,280 (11.78),62 (3.16),220 (11.78),0.56 (0.02),0.81 (0.02),0.67 (0.02),0.66 (0.02),0.71 (0.02)
0.2,0.95,500,281 (12.18),68 (6.54),219 (12.18),0.56 (0.02),0.8 (0.03),0.66 (0.02),0.65 (0.03),0.71 (0.02)
0.2,0.95,750,277 (9.68),76 (8.11),223 (9.68),0.55 (0.02),0.77 (0.03),0.65 (0.02),0.64 (0.03),0.69 (0.02)
0.2,0.95,1e3,269 (9.21),76 (5.48),231 (9.21),0.54 (0.02),0.77 (0.03),0.64 (0.02),0.62 (0.03),0.68 (0.02)
0.2,0.99,200,260 (16.03),7 (1.95),240 (16.03),0.52 (0.03),0.98 (0),0.65 (0.02),0.71 (0.02),0.73 (0.03)
0.2,0.99,250,264 (15.31),10 (1.95),236 (15.31),0.53 (0.03),0.97 (0),0.66 (0.02),0.71 (0.02),0.73 (0.03)
0.2,0.99,500,259 (19.1),13 (3.32),241 (19.1),0.52 (0.04),0.95 (0.01),0.64 (0.03),0.7 (0.03),0.72 (0.03)
0.2,0.99,750,247 (7.3),14 (3.54),253 (7.3),0.49 (0.01),0.95 (0.01),0.62 (0.01),0.68 (0.01),0.7 (0.01)
0.2,0.99,1e3,238 (14.01),16 (0.84),262 (14.01),0.48 (0.03),0.94 (0),0.61 (0.02),0.67 (0.02),0.68 (0.03)
0.3,0.9,200,277 (9.24),80 (4.44),223 (9.24),0.55 (0.02),0.75 (0.02),0.67 (0.01),0.62 (0.02),0.68 (0.02)
0.3,0.9,250,287 (11.3),97 (4.27),213 (11.3),0.57 (0.02),0.72 (0.02),0.68 (0.02),0.61 (0.02),0.68 (0.02)
0.3,0.9,500,299 (10.11),127 (3.7),201 (10.11),0.6 (0.02),0.66 (0.02),0.69 (0.02),0.59 (0.02),0.67 (0.01)
0.3,0.9,750,296 (7.92),135 (10.76),204 (7.92),0.59 (0.02),0.65 (0.02),0.68 (0.01),0.58 (0.02),0.66 (0.02)
0.3,0.9,1e3,291 (5.97),137 (8.35),209 (5.97),0.58 (0.01),0.64 (0.03),0.67 (0.01),0.56 (0.03),0.65 (0.02)
0.3,0.95,200,272 (10.65),42 (3.63),228 (10.65),0.54 (0.02),0.87 (0.01),0.67 (0.02),0.68 (0.02),0.72 (0.02)
0.3,0.95,250,280 (11.78),57 (5.15),220 (11.78),0.56 (0.02),0.82 (0.02),0.68 (0.02),0.67 (0.02),0.71 (0.02)
0.3,0.95,500,281 (12.28),59 (4.93),219 (12.28),0.56 (0.02),0.83 (0.03),0.67 (0.02),0.67 (0.03),0.72 (0.02)
0.3,0.95,750,277 (9.53),66 (8.2),223 (9.53),0.55 (0.02),0.81 (0.03),0.66 (0.02),0.65 (0.03),0.7 (0.02)
0.3,0.95,1e3,268 (8.94),69 (5.92),232 (8.94),0.54 (0.02),0.8 (0.04),0.65 (0.02),0.64 (0.03),0.69 (0.02)
0.3,0.99,200,262 (14.67),6 (1.67),238 (14.67),0.52 (0.03),0.98 (0),0.66 (0.02),0.72 (0.02),0.73 (0.03)
0.3,0.99,250,266 (16.32),9 (2.61),234 (16.32),0.53 (0.03),0.97 (0.01),0.66 (0.02),0.72 (0.02),0.73 (0.03)
0.3,0.99,500,262 (16.66),11 (3.42),238 (16.66),0.52 (0.03),0.96 (0.01),0.65 (0.02),0.71 (0.02),0.73 (0.03)
0.3,0.99,750,253 (11.14),12 (3.58),247 (11.14),0.51 (0.02),0.96 (0.01),0.64 (0.02),0.7 (0.02),0.72 (0.02)
0.3,0.99,1e3,242 (13.22),14 (1.14),258 (13.22),0.48 (0.03),0.95 (0.01),0.62 (0.02),0.68 (0.02),0.69 (0.02)
0.4,0.9,200,277 (9.24),77 (3.54),223 (9.24),0.55 (0.02),0.77 (0.02),0.67 (0.01),0.63 (0.02),0.69 (0.02)
0.4,0.9,250,287 (11.3),94 (3.7),213 (11.3),0.57 (0.02),0.73 (0.02),0.68 (0.02),0.62 (0.02),0.68 (0.02)
0.4,0.9,500,299 (10.11),121 (4.15),201 (10.11),0.6 (0.02),0.68 (0.02),0.69 (0.02),0.6 (0.02),0.68 (0.01)
0.4,0.9,750,296 (7.95),128 (9.35),204 (7.95),0.59 (0.02),0.68 (0.02),0.69 (0.01),0.6 (0.02),0.67 (0.02)
0.4,0.9,1e3,291 (6),130 (7.4),209 (6),0.58 (0.01),0.66 (0.03),0.68 (0.01),0.58 (0.03),0.66 (0.02)
0.4,0.95,200,272 (10.73),37 (4.45),228 (10.73),0.54 (0.02),0.89 (0.02),0.67 (0.02),0.69 (0.02),0.72 (0.02)
0.4,0.95,250,280 (11.83),52 (6.15),220 (11.83),0.56 (0.02),0.84 (0.03),0.68 (0.02),0.68 (0.03),0.72 (0.02)
0.4,0.95,500,281 (12.28),52 (3.71),219 (12.28),0.56 (0.02),0.85 (0.02),0.68 (0.02),0.69 (0.02),0.73 (0.02)
0.4,0.95,750,276 (9.51),59 (7.3),224 (9.51),0.55 (0.02),0.83 (0.03),0.67 (0.02),0.67 (0.03),0.71 (0.02)
0.4,0.95,1e3,267 (8.53),62 (7.92),233 (8.53),0.53 (0.02),0.82 (0.04),0.65 (0.01),0.65 (0.03),0.7 (0.03)
0.4,0.99,200,262 (14.27),5 (2),238 (14.27),0.52 (0.03),0.98 (0.01),0.66 (0.02),0.72 (0.02),0.73 (0.02)
0.4,0.99,250,268 (14.74),8 (2.39),232 (14.74),0.54 (0.03),0.98 (0.01),0.67 (0.02),0.73 (0.02),0.74 (0.02)
0.4,0.99,500,264 (14.1),10 (3.39),236 (14.1),0.53 (0.03),0.97 (0.01),0.66 (0.02),0.72 (0.02),0.73 (0.02)
0.4,0.99,750,255 (9.76),12 (4.02),245 (9.76),0.51 (0.02),0.96 (0.02),0.65 (0.02),0.71 (0.02),0.72 (0.02)
0.4,0.99,1e3,243 (12.28),13 (2.41),257 (12.28),0.49 (0.02),0.96 (0.01),0.63 (0.02),0.69 (0.02),0.7 (0.02)
